Product,Month,Quantity,Revenue,Cost_Price,Selling_Price
Rice (kg),2025-07,180,15120,28,38
Rice (kg),2025-08,135,11340,65,95
Rice (kg),2025-09,109,9156,43,79
Rice (kg),2025-10,111,9324,12,40
Rice (kg),2025-11,105,8820,38,46
Rice (kg),2025-12,183,15372,31,56
Wheat (kg),2025-07,115,3105,55,85
Wheat (kg),2025-08,69,1863,37,71
Wheat (kg),2025-09,140,3780,46,58
Wheat (kg),2025-10,191,5157,21,59
Wheat (kg),2025-11,88,2376,49,66
Wheat (kg),2025-12,160,4320,71,101
Sugar (kg),2025-07,122,5856,60,93
Sugar (kg),2025-08,183,8784,74,108
Sugar (kg),2025-09,136,6528,71,96
Sugar (kg),2025-10,98,4704,41,75
Sugar (kg),2025-11,61,2928,69,103
Sugar (kg),2025-12,167,8016,47,66
Salt (kg),2025-07,73,1825,40,68
Salt (kg),2025-08,54,1350,17,48
Salt (kg),2025-09,113,2825,80,111
Salt (kg),2025-10,59,1475,42,82
Salt (kg),2025-11,76,1900,55,80
Salt (kg),2025-12,60,1500,69,88
Cooking Oil (L),2025-07,166,8632,62,70
Cooking Oil (L),2025-08,97,5044,80,109
Cooking Oil (L),2025-09,141,7332,79,113
Cooking Oil (L),2025-10,188,9776,38,48
Cooking Oil (L),2025-11,186,9672,62,69
Cooking Oil (L),2025-12,187,9724,31,67
Milk (L),2025-07,149,13112,13,22
Milk (L),2025-08,73,6424,59,84
Milk (L),2025-09,187,16456,14,33
Milk (L),2025-10,145,12760,51,68
Milk (L),2025-11,98,8624,44,72
Milk (L),2025-12,91,8008,45,73
Curd (kg),2025-07,178,6230,10,23
Curd (kg),2025-08,57,1995,70,89
Curd (kg),2025-09,160,5600,16,26
Curd (kg),2025-10,80,2800,79,107
Curd (kg),2025-11,96,3360,72,108
Curd (kg),2025-12,129,4515,46,72
Butter (pack),2025-07,200,8800,18,34
Butter (pack),2025-08,121,5324,13,32
Butter (pack),2025-09,153,6732,25,56
Butter (pack),2025-10,84,3696,51,86
Butter (pack),2025-11,169,7436,42,63
Butter (pack),2025-12,134,5896,49,61
Ghee (L),2025-07,109,10900,43,77
Ghee (L),2025-08,165,16500,63,89
Ghee (L),2025-09,64,6400,12,44
Ghee (L),2025-10,79,7900,47,56
Ghee (L),2025-11,175,17500,33,68
Ghee (L),2025-12,160,16000,10,45
Paneer (kg),2025-07,126,10458,74,97
Paneer (kg),2025-08,182,15106,67,99
Paneer (kg),2025-09,193,16019,49,55
Paneer (kg),2025-10,174,14442,49,81
Paneer (kg),2025-11,178,14774,52,80
Paneer (kg),2025-12,195,16185,75,98
Eggs (dozen),2025-07,57,3135,40,67
Eggs (dozen),2025-08,123,6765,28,65
Eggs (dozen),2025-09,173,9515,75,99
Eggs (dozen),2025-10,113,6215,32,54
Eggs (dozen),2025-11,174,9570,46,62
Eggs (dozen),2025-12,145,7975,73,86
Bread (pack),2025-07,84,3276,41,75
Bread (pack),2025-08,105,4095,50,81
Bread (pack),2025-09,138,5382,38,67
Bread (pack),2025-10,119,4641,37,54
Bread (pack),2025-11,72,2808,55,91
Bread (pack),2025-12,74,2886,55,66
Biscuits (pack),2025-07,61,2318,39,72
Biscuits (pack),2025-08,150,5700,42,57
Biscuits (pack),2025-09,88,3344,48,86
Biscuits (pack),2025-10,71,2698,35,73
Biscuits (pack),2025-11,191,7258,52,70
Biscuits (pack),2025-12,86,3268,67,97
Noodles (pack),2025-07,137,12878,73,91
Noodles (pack),2025-08,80,7520,10,29
Noodles (pack),2025-09,140,13160,45,73
Noodles (pack),2025-10,134,12596,68,84
Noodles (pack),2025-11,74,6956,78,89
Noodles (pack),2025-12,63,5922,69,106
Pasta (pack),2025-07,120,2520,27,54
Pasta (pack),2025-08,156,3276,43,83
Pasta (pack),2025-09,125,2625,49,68
Pasta (pack),2025-10,173,3633,25,48
Pasta (pack),2025-11,117,2457,46,54
Pasta (pack),2025-12,124,2604,62,88
Tea Powder (g),2025-07,91,1820,30,59
Tea Powder (g),2025-08,98,1960,72,83
Tea Powder (g),2025-09,68,1360,23,56
Tea Powder (g),2025-10,174,3480,73,100
Tea Powder (g),2025-11,169,3380,61,95
Tea Powder (g),2025-12,92,1840,36,51
Coffee Powder (g),2025-07,89,1958,69,76
Coffee Powder (g),2025-08,196,4312,12,50
Coffee Powder (g),2025-09,110,2420,13,42
Coffee Powder (g),2025-10,97,2134,42,81
Coffee Powder (g),2025-11,54,1188,57,72
Coffee Powder (g),2025-12,159,3498,13,50
Tomato (kg),2025-07,52,3068,16,40
